YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1974,999.90,999.90,999.90,999.90,999.90,999.90,999.90,5.33,0.24,-3.33,-6.88,-7.47,999.90,999.90,999.90,-3.32,999.90
1975,-13.50,-11.02,-14.71,-9.88,-4.57,1.84,5.40,4.17,0.53,-7.33,-9.45,-18.30,-10.66,-9.72,3.80,-5.42,-5.50
1976,-13.78,-11.37,-6.32,-8.77,-2.07,3.04,5.68,4.16,-1.04,-3.74,-7.93,-9.00,-14.48,-5.72,4.29,-4.24,-5.04
1977,-10.36,-16.45,-20.86,-15.66,-4.63,1.12,4.80,4.09,-0.12,-4.28,-6.43,-9.15,-11.94,-13.72,3.34,-3.61,-6.48
1978,-18.82,-18.77,-15.62,-8.82,-2.55,2.14,4.56,4.52,-1.89,-6.07,-10.60,-10.07,-15.58,-9.00,3.74,-6.19,-6.76
1979,-19.43,-19.32,-12.77,-16.03,-6.80,-0.32,6.14,4.59,1.29,-4.44,-6.56,-11.92,-16.27,-11.87,3.47,-3.24,-6.98
1980,-15.34,-13.61,-12.68,-8.40,-3.17,2.78,4.62,4.15,0.42,-6.96,-13.62,-16.95,-13.62,-8.08,3.85,-6.72,-6.14
1981,-22.16,-12.69,-18.64,-10.53,-4.47,0.27,4.90,4.97,1.27,-4.08,-6.89,-13.94,-17.27,-11.21,3.38,-3.23,-7.08
1982,-17.47,-14.70,-9.10,-9.14,-4.41,1.22,4.06,3.20,-4.25,-4.78,-7.91,-12.62,-15.37,-7.55,2.83,-5.65,-6.43
1983,-10.87,-17.02,-10.06,-11.26,-2.76,1.00,5.51,3.56,0.75,-7.09,-13.24,-15.89,-13.50,-8.03,3.36,-6.53,-6.17
1984,-8.35,-9.44,-14.72,-6.52,-2.58,2.30,5.84,4.97,1.39,-2.55,-4.92,-2.67,-11.23,-7.94,4.37,-2.03,-4.21
1985,-11.49,-8.15,-11.12,-12.16,-3.10,3.02,6.73,3.99,0.56,-7.26,-8.84,-12.00,-7.44,-8.79,4.58,-5.18,-4.21
1986,-13.37,-19.87,-14.40,-14.88,-2.61,2.62,6.14,4.69,-2.41,-4.24,-9.44,-9.54,-15.08,-10.63,4.48,-5.36,-6.65
1987,-10.11,-14.84,-11.88,-7.13,-2.83,1.74,4.37,4.05,-1.92,-6.99,-9.48,-16.47,-11.50,-7.28,3.39,-6.13,-5.38
1988,-17.10,-12.39,-17.34,-17.00,-2.58,2.83,5.48,5.21,-1.87,-9.71,-14.56,-21.35,-15.32,-12.31,4.51,-8.71,-7.96
1989,-16.83,-18.65,-14.35,-7.30,-1.53,1.92,4.93,3.58,0.24,-6.40,-8.57,-15.10,-18.94,-7.73,3.48,-4.91,-7.03
1990,-6.79,-9.83,-15.58,-8.50,-4.62,2.48,5.56,4.32,4.85,-3.18,-12.20,-8.18,-10.57,-9.57,4.12,-3.51,-4.88
1991,-11.27,-10.48,-7.97,-11.21,-3.00,2.93,4.09,5.45,-0.75,-5.89,-11.83,-12.83,-9.98,-7.39,4.16,-6.16,-4.84
1992,-10.68,-14.87,-12.19,-6.23,-2.57,2.96,5.10,3.74,2.49,-8.40,-7.21,-11.70,-12.79,-7.00,3.93,-4.37,-5.06
1993,-15.48,-15.93,-15.71,-12.68,-3.05,2.83,6.17,5.36,-0.74,-8.09,-3.19,-11.03,-14.37,-10.48,4.79,-4.01,-6.02
1994,-15.22,-14.60,-11.41,-6.62,-3.37,2.81,4.64,2.64,-0.42,-9.08,-13.11,-9.26,-13.62,-7.13,3.36,-7.54,-6.23
